Entity,Code,Year,Share of one person households,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Luxembourg,LUX,2003,29.3,100226.521534938,447317.0,Europe
Philippines,PHL,2003,4.144139239,4697.48565008809,83051970.0,Asia
Belgium,BEL,2003,33.0,44160.0566799357,10419029.0,Europe
Belgium,BEL,2004,32.4,45539.5854609401,10480118.0,Europe
Ireland,IRL,2004,21.4,55763.260487446,4058131.0,Europe
Madagascar,MDG,2004,7.219479869,1533.69908791924,17802992.0,Africa
Chad,TCD,2004,8.028637267,1430.36832482671,9734761.0,Africa
Bangladesh,BGD,2004,1.702454098,2171.68867544338,136986429.0,Asia
Luxembourg,LUX,2004,29.3,102381.312977526,451822.0,Europe
Italy,ITA,2004,26.8,44118.0366368665,57948421.0,Europe
Tanzania,TZA,2004,8.831081538,1645.83993957107,37379766.0,Africa
Morocco,MAR,2004,5.880234065,5120.82594400246,30115196.0,Africa
Sweden,SWE,2004,41.7,44354.3910620977,8990653.0,Europe
Austria,AUT,2004,34.1,48563.5886574222,8216809.0,Europe
Malawi,MWI,2004,8.376442411,1080.92872560719,12301837.0,Africa
India,IND,2004,6.919352908,3054.91887624755,1129623466.0,Asia
Iceland,ISL,2004,29.5,46051.74388765,291102.0,Europe
Greece,GRC,2004,19.7,34627.1806747136,11234993.0,Europe
United States,USA,2004,26.41607094,52994.5519602027,292354663.0,North America
Spain,ESP,2004,23.2,37249.7735119425,43308345.0,Europe
Lesotho,LSO,2004,16.06067118,1894.32035122126,2005953.0,Africa
Moldova,MDA,2004,20.25371369,6710.46912061356,4167962.0,Europe
Estonia,EST,2004,32.0,23695.4929298202,1363570.0,Europe
Finland,FIN,2004,37.9,43724.9661225981,5242175.0,Europe
Denmark,DNK,2004,43.5,50446.5416048985,5402754.0,Europe
Cameroon,CMR,2004,17.60038526,3003.25098501748,17259322.0,Africa
Portugal,PRT,2004,16.6,30892.8198811263,10470926.0,Europe
France,FRA,2004,32.8,41272.6323754944,60697977.0,Europe
Norway,NOR,2004,41.1,60699.5854473669,4598210.0,Europe
Norway,NOR,2005,40.9,61870.3837851071,4632359.0,Europe
Guinea,GIN,2005,5.404126666,1794.38316206248,9109585.0,Africa
Japan,JPN,2005,29.4666481,37489.8533695016,128326115.0,Asia
Cyprus,CYP,2005,16.0,37803.5755253568,1027656.0,Europe
Hungary,HUN,2005,29.0,24355.7819172586,10085942.0,Europe
